rank,ts_code,symbol,name,industry,area,value_score,quality_score,total_score,rating,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,roe,roe_waa,gross_margin,current_ratio,quick_ratio,eps_5y_cagr,revenue_5y_cagr,data_years,total_mv,circ_mv,close,list_date
66,002352.SZ,2352,顺丰控股,仓储物流,深圳,60.0,38.0,49.0,C+,18.7645,17.5705,1.9427,0.671,0.6302,2.3762,2.3762,11.0079,11.16,,1.2285,1.1948,,0.0395060261670665,3,19084322.9589,18071634.7184,37.87,20100205
67,603733.SH,603733,仙鹤股份,造纸,浙江,50.0,47.0,48.5,C+,17.4846,18.1915,2.1184,1.7084,1.4536,2.0111,2.0111,13.021,13.02,,1.5716,0.9201,,0.0959475542265155,3,1755155.7382,1755155.7382,24.8,20180420
68,601311.SH,601311,骆驼股份,电气设备,湖北,65.0,32.0,48.5,C+,18.7253,15.4245,1.1669,0.7373,0.701,2.9592,2.9592,6.5258,6.51,,1.9192,1.2389,(0.020005283131651064+0j),0.0346183842414817,4,1149683.1956,1149683.1956,9.8,20110602
69,002394.SZ,2394,联发股份,纺织,江苏,50.0,47.0,48.5,C+,25.1508,15.1511,1.1724,1.2131,1.4241,0.6386,0.6386,5.0435,5.04,,2.4181,1.5787,(0.1609591237233643+0j),-0.0097136926496075,3,506914.2,506265.259,15.66,20100423
70,600125.SH,600125,铁龙物流,铁路,辽宁,65.0,32.0,48.5,C+,22.0825,15.7845,1.1027,0.648,0.735,2.1672,2.1672,5.3405,5.332,,1.8689,1.0821,(-0.0990924858619111+0j),-0.0588222390905743,3,843367.1306,843367.1306,6.46,19980511
71,301015.SZ,301015,百洋医药,医药商业,山东,40.0,57.0,48.5,C+,18.0809,23.7267,5.2501,1.5448,1.6502,3.203,3.203,27.4258,26.94,,1.5688,1.284,(0.027618606293210446+0j),0.034466855826958,3,1250459.6792,1250295.5282,23.79,20210630
72,603613.SH,603613,国联股份,互联网,北京,50.0,45.0,47.5,C+,13.5355,13.7187,2.2186,0.3675,0.3778,0.2409,0.2409,20.2821,20.24,,2.0334,1.9567,(0.010050503787815579+0j),0.0294925958567666,3,1969229.8429,1969229.8429,27.33,20190730
73,603170.SH,603170,宝立食品,食品,上海,40.0,55.0,47.5,C+,24.1821,22.4162,3.9959,2.1274,1.9763,2.766,2.766,17.099,17.07,,2.5774,2.0522,(-0.12060626944847208+0j),0.0578865741572913,3,564014.1,564014.1,14.1,20220715
74,605333.SH,605333,沪光股份,汽车配件,江苏,30.0,65.0,47.5,C+,20.2896,20.7101,3.9821,1.7187,1.6546,0.7386,0.7386,35.563,35.88,,1.0907,0.9029,(2.4306312493811935+0j),0.4060652621424467,3,1360102.43,1280190.6934,29.31,20200818
75,600011.SH,600011,华能国际,火力发电,北京,80.0,15.0,47.5,C+,11.2135,7.8041,1.7,0.4629,0.4854,3.7293,3.7293,7.5202,13.14,,0.5388,0.4636,(0.14642300844222178+0j),-0.0175397874166229,3,11365419.5919,7962341.9814,7.24,20011206
76,601328.SH,601328,交通银行,银行,上海,85.0,10.0,47.5,C+,6.1845,6.0995,0.516,2.2276,2.1978,6.6433,4.599,8.3846,9.08,,,,(0.004338415163889442+0j),0.0043150767143005,3,57878278.6661,17077447.9177,6.55,20070515
77,601077.SH,601077,渝农商行,银行,重庆,85.0,10.0,47.5,C+,6.4022,6.1947,0.5702,2.608,2.5949,4.6934,4.8314,9.0856,9.28,,,,(0.0262511823923528+0j),0.0054695029633653,3,7370693.0,5736019.3234,6.49,20191029
78,002984.SZ,2984,森麒麟,汽车配件,山东,55.0,40.0,47.5,C+,9.7958,14.5121,1.6196,2.5161,2.4876,2.8535,2.8535,17.2949,17.36,,4.4481,3.4954,(0.024573688799929272+0j),-0.1169170545450123,3,2141381.8797,1475093.8159,20.67,20200911
79,600558.SH,600558,大西洋,钢加工,四川,45.0,50.0,47.5,C+,38.2837,28.1451,2.4942,1.6663,1.6097,2.2693,2.2693,6.7022,6.71,,3.3526,2.0147,(0.23679920615706762+0j),0.0176354421776021,3,593316.7933,593316.7933,6.61,20010227
80,600887.SH,600887,伊利股份,乳制品,内蒙,55.0,40.0,47.5,C+,19.5159,20.5937,3.0965,1.4296,1.4099,6.5184,6.5184,15.8413,15.81,,0.7408,0.6214,(-0.0994581576872191+0j),-0.0420813035268765,3,16496540.6195,16414568.7124,26.08,19960312
81,603035.SH,603035,常熟汽饰,汽车配件,江苏,70.0,25.0,47.5,C+,13.3463,14.6326,1.0692,1.002,0.8601,2.2484,2.2484,8.3283,8.27,,0.9284,0.7627,(-0.11808289631180302+0j),0.1101089724131194,3,567837.974,567837.974,15.5,20170105
82,601952.SH,601952,苏垦农发,种植业,江苏,50.0,45.0,47.5,C+,17.875,23.5736,1.853,1.1953,1.2812,2.8511,2.8511,10.8203,10.85,,3.2006,1.666,(-0.052210421693843045+0j),-0.0527849393669236,3,1304966.0,1304966.0,9.47,20170515
83,600020.SH,600020,中原高速,路桥,河南,85.0,10.0,47.5,C+,10.5682,9.1348,0.7827,1.3351,1.3009,4.1063,4.1063,5.8753,6.74,,1.1394,0.3292,(0.02733422853931211+0j),0.105450499598146,3,930411.9384,930411.9384,4.14,20030808
