ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,profit_dedt,bps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,roe,roe_waa,roe_dt,roe_yearly,netprofit_margin,gross_margin,assets_turn,ca_turn,debt_to_assets,current_ratio,quick_ratio,cash_ratio,op_income,fcff,fcfe,eps_5y_cagr,revenue_5y_cagr,data_years,trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv,circ_mv,value_score,quality_score,total_score,rating,rank
601011.SH,601011,宝泰隆,黑龙江,焦炭加工,主板,SSE,20110309,H,20241231,-0.24,-0.24,0.6738,0.6738,-478036171.63,3.0163,2.2101,0.0941,-0.3034,-7.7561,-7.74,-7.9878,-7.7561,,,0.1061,1.117,47.6573,0.1583,0.1076,0.0423,-691741105.59,-394099082.74,-633999082.74,,-0.4114651157074023,3,20260227.0,3.77,,,1.254,5.595,11.2557,,,722205.5312,722205.5312,20.0,0.0,10.0,D,868
002205.SZ,2205,国统股份,新疆,水泥,主板,SZSE,20080123,N,20241231,-1.3404,-1.3404,3.6484,3.6484,-70654903.18,2.0503,2.4563,0.1928,-2.2143,-49.4762,-49.48,-14.0329,-49.4762,,,0.1687,0.6653,87.094,0.5505,0.5018,0.4136,-73460243.9,188498499.33,140731106.46,,0.3760815588981283,3,20260227.0,14.85,,,7.6695,4.0702,3.7213,,,275977.1936,275977.1936,5.0,15.0,10.0,D,869
002281.SZ,2281,光迅科技,湖北,通信设备,主板,SZSE,20090821,S,20241231,0.85,0.84,10.4239,10.4239,629707673.44,11.4791,5.5926,0.53,4.6255,7.5363,7.55,7.1761,7.5363,7.932,,0.617,0.8035,38.0709,2.2733,1.4779,1.2607,601231412.86,-356707315.5277,-266673843.3377,0.011976474796805192,0.1687191599669606,3,20260227.0,75.92,92.6076,66.8383,6.2657,7.4034,5.3599,0.3425,0.3425,6124282.3092,5917792.1095,0.0,20.0,10.0,D,870
003029.SZ,3029,吉大正元,吉林,软件服务,主板,SZSE,20201224,S,20241231,-0.71,-0.71,2.1003,2.1003,-143442428.83,5.9506,4.9415,0.2944,0.0903,-11.8446,-11.28,-12.2657,-11.8446,,,0.2296,0.3977,27.845,2.0328,1.4757,1.2893,-148914642.99,-537652340.12,-537652340.12,,-0.0254655540262681,3,20260227.0,25.57,,,4.5865,12.1742,13.8518,,,495086.9204,442966.9604,5.0,15.0,10.0,D,871
688435.SH,688435,英方软件,上海,软件服务,科创板,SSE,20230119,N,20241231,-0.34,-0.34,2.2813,2.2813,-44734972.55,13.3387,11.3026,0.2024,1.206,-2.5005,-2.51,-3.9132,-2.5005,,,0.1557,0.1689,6.5167,14.1727,14.1375,12.8308,-57208403.52,-59637732.58,-59637732.58,(-1+0.7934920476158722j),-0.1148175333226099,3,20260227.0,57.16,,,4.3436,25.0562,23.4184,,,477286.0,320371.2254,5.0,15.0,10.0,D,872
300941.SZ,300941,创识科技,福建,IT设备,创业板,SZSE,20210209,S,20241231,0.27,0.27,1.0225,1.0225,54022251.96,6.2862,2.7801,0.3393,2.3784,4.3381,4.35,4.2145,4.3381,26.3248,,0.1506,0.1546,7.6622,14.7591,14.4256,2.6179,17480969.35,-32989140.7083,-32989140.7083,(-0.17841616374225078+0j),-0.1047932676418381,3,20260227.0,23.53,86.6397,113.001,3.778,23.0118,20.9216,0.535,0.535,481776.75,250095.8969,5.0,15.0,10.0,D,873
688001.SH,688001,华兴源创,江苏,专用机械,科创板,SSE,20190722,H,20241231,-1.13,-1.13,4.0922,4.0922,-534009491.67,7.521,5.3962,0.31,0.9469,-13.5075,-13.64,-14.5123,-13.5075,,,0.3365,0.5986,34.9539,2.9726,2.2194,1.9268,-541670475.77,-647635180.35,-626787330.41,(-0.9999999999999999+1.4465796184768374j),-0.0141600068513205,3,20260227.0,34.68,,,4.462,8.4578,7.2548,,,1541490.7755,1541490.7755,5.0,15.0,10.0,D,874
002268.SZ,2268,电科网安,四川,IT设备,主板,SZSE,20080811,S,20241231,0.187,0.187,2.9175,2.9175,101796633.14,6.6767,3.0781,0.1003,2.4956,2.8284,2.83,1.8206,2.8284,6.4133,,0.3328,0.4531,21.5206,3.5022,3.27,3.1192,93230361.47,-585200478.76,-585200478.76,-0.3265363870753346,-0.1039034548398962,3,20260227.0,20.12,107.5823,107.6251,3.1613,6.896,7.623,0.2982,0.2982,1701419.799,1700739.3909,5.0,15.0,10.0,D,875
600719.SH,600719,大连热电,辽宁,供气供热,主板,SSE,19960716,N,20241231,-0.361,-0.361,1.5535,1.5535,-148120338.35,0.9958,0.2525,0.4309,-0.6942,-30.6907,-30.71,-31.1493,-30.6907,,,0.2273,0.9635,85.1732,0.3777,0.3425,0.2836,-145459278.24,86840061.57,76170061.57,(-0.9999999999999999+1.1760704751213285j),-0.0032030831808131,3,20260227.0,6.66,,,9.1465,4.2872,4.4696,,,269463.3336,269463.3336,5.0,15.0,10.0,D,876
600831.SH,600831,广电网络,陕西,影视音像,主板,SSE,19940224,N,20241231,-1.4901,-1.4901,2.1754,2.1754,-1060671403.72,2.9163,2.5377,0.2023,-0.8237,-40.7041,-40.7,-40.7649,-40.7041,,,0.1381,0.3825,80.7948,0.7606,0.7401,0.5452,-1070194903.41,-111603880.21,-178047619.47,,-0.1817336224836591,3,20260227.0,4.55,,,2.2009,2.0915,2.5034,,,323480.8814,323480.8814,20.0,0.0,10.0,D,877
